category,benchmark,status,error,test_coverage,fault_coverage,atpg_effectiveness,patterns,runtime_sec,detected_faults,undetected_faults,total_faults,report,patterns_file,stil_file
dirL0,b14_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/b14_C/b14_C.rpt,FTL/04_Phase4_ATPG/results/dirL0/b14_C/b14_C.pat,FTL/04_Phase4_ATPG/results/dirL0/b14_C/b14_C.stil
dirL0,b15_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/b15_C/b15_C.rpt,FTL/04_Phase4_ATPG/results/dirL0/b15_C/b15_C.pat,FTL/04_Phase4_ATPG/results/dirL0/b15_C/b15_C.stil
dirL0,b17_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/b17_C/b17_C.rpt,FTL/04_Phase4_ATPG/results/dirL0/b17_C/b17_C.pat,FTL/04_Phase4_ATPG/results/dirL0/b17_C/b17_C.stil
dirL0,b20_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/b20_C/b20_C.rpt,FTL/04_Phase4_ATPG/results/dirL0/b20_C/b20_C.pat,FTL/04_Phase4_ATPG/results/dirL0/b20_C/b20_C.stil
dirL0,b21_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/b21_C/b21_C.rpt,FTL/04_Phase4_ATPG/results/dirL0/b21_C/b21_C.pat,FTL/04_Phase4_ATPG/results/dirL0/b21_C/b21_C.stil
dirL0,b22_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/b22_C/b22_C.rpt,FTL/04_Phase4_ATPG/results/dirL0/b22_C/b22_C.pat,FTL/04_Phase4_ATPG/results/dirL0/b22_C/b22_C.stil
dirL0,c1908,ok,,100,94.53,100,54,1.776e+09,2246,0,2376,FTL/04_Phase4_ATPG/results/dirL0/c1908/c1908.rpt,FTL/04_Phase4_ATPG/results/dirL0/c1908/c1908.pat,FTL/04_Phase4_ATPG/results/dirL0/c1908/c1908.stil
dirL0,c5315,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/c5315/c5315.rpt,FTL/04_Phase4_ATPG/results/dirL0/c5315/c5315.pat,FTL/04_Phase4_ATPG/results/dirL0/c5315/c5315.stil
dirL0,c6288,ok,,99.76,97.63,99.76,63,1.776e+09,12395,0,12696,FTL/04_Phase4_ATPG/results/dirL0/c6288/c6288.rpt,FTL/04_Phase4_ATPG/results/dirL0/c6288/c6288.pat,FTL/04_Phase4_ATPG/results/dirL0/c6288/c6288.stil
dirL0,c7552,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/c7552/c7552.rpt,FTL/04_Phase4_ATPG/results/dirL0/c7552/c7552.pat,FTL/04_Phase4_ATPG/results/dirL0/c7552/c7552.stil
dirL0,fftmain,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/fftmain/fftmain.rpt,FTL/04_Phase4_ATPG/results/dirL0/fftmain/fftmain.pat,FTL/04_Phase4_ATPG/results/dirL0/fftmain/fftmain.stil
dirL0,filter,ok,,99.96,97.22,99.96,134,1.776e+09,184146,0,189412,FTL/04_Phase4_ATPG/results/dirL0/filter/filter.rpt,FTL/04_Phase4_ATPG/results/dirL0/filter/filter.pat,FTL/04_Phase4_ATPG/results/dirL0/filter/filter.stil
dirL0,fpu_mul,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/fpu_mul/fpu_mul.rpt,FTL/04_Phase4_ATPG/results/dirL0/fpu_mul/fpu_mul.pat,FTL/04_Phase4_ATPG/results/dirL0/fpu_mul/fpu_mul.stil
dirL0,multiplier,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/multiplier/multiplier.rpt,FTL/04_Phase4_ATPG/results/dirL0/multiplier/multiplier.pat,FTL/04_Phase4_ATPG/results/dirL0/multiplier/multiplier.stil
dirL0,s13207,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/s13207/s13207.rpt,FTL/04_Phase4_ATPG/results/dirL0/s13207/s13207.pat,FTL/04_Phase4_ATPG/results/dirL0/s13207/s13207.stil
dirL0,s15850,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/s15850/s15850.rpt,FTL/04_Phase4_ATPG/results/dirL0/s15850/s15850.pat,FTL/04_Phase4_ATPG/results/dirL0/s15850/s15850.stil
dirL0,s208,ok,,100,98.97,100,36,1.776e+09,576,0,582,FTL/04_Phase4_ATPG/results/dirL0/s208/s208.rpt,FTL/04_Phase4_ATPG/results/dirL0/s208/s208.pat,FTL/04_Phase4_ATPG/results/dirL0/s208/s208.stil
dirL0,s35932,ok,,100,100,100,15,1.776e+09,49368,0,49368,FTL/04_Phase4_ATPG/results/dirL0/s35932/s35932.rpt,FTL/04_Phase4_ATPG/results/dirL0/s35932/s35932.pat,FTL/04_Phase4_ATPG/results/dirL0/s35932/s35932.stil
dirL0,s38417,ok,,99.98,98.58,99.98,116,1.776e+09,68783,0,69776,FTL/04_Phase4_ATPG/results/dirL0/s38417/s38417.rpt,FTL/04_Phase4_ATPG/results/dirL0/s38417/s38417.pat,FTL/04_Phase4_ATPG/results/dirL0/s38417/s38417.stil
dirL0,s38584,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/s38584/s38584.rpt,FTL/04_Phase4_ATPG/results/dirL0/s38584/s38584.pat,FTL/04_Phase4_ATPG/results/dirL0/s38584/s38584.stil
dirL0,s5378,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/s5378/s5378.rpt,FTL/04_Phase4_ATPG/results/dirL0/s5378/s5378.pat,FTL/04_Phase4_ATPG/results/dirL0/s5378/s5378.stil
dirL0,s9234,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/s9234/s9234.rpt,FTL/04_Phase4_ATPG/results/dirL0/s9234/s9234.pat,FTL/04_Phase4_ATPG/results/dirL0/s9234/s9234.stil
dirL0,sha512,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL0/sha512/sha512.rpt,FTL/04_Phase4_ATPG/results/dirL0/sha512/sha512.pat,FTL/04_Phase4_ATPG/results/dirL0/sha512/sha512.stil
dirL5,b14_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/b14_C/b14_C.rpt,FTL/04_Phase4_ATPG/results/dirL5/b14_C/b14_C.pat,FTL/04_Phase4_ATPG/results/dirL5/b14_C/b14_C.stil
dirL5,b15_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/b15_C/b15_C.rpt,FTL/04_Phase4_ATPG/results/dirL5/b15_C/b15_C.pat,FTL/04_Phase4_ATPG/results/dirL5/b15_C/b15_C.stil
dirL5,b17_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/b17_C/b17_C.rpt,FTL/04_Phase4_ATPG/results/dirL5/b17_C/b17_C.pat,FTL/04_Phase4_ATPG/results/dirL5/b17_C/b17_C.stil
dirL5,b20_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/b20_C/b20_C.rpt,FTL/04_Phase4_ATPG/results/dirL5/b20_C/b20_C.pat,FTL/04_Phase4_ATPG/results/dirL5/b20_C/b20_C.stil
dirL5,b21_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/b21_C/b21_C.rpt,FTL/04_Phase4_ATPG/results/dirL5/b21_C/b21_C.pat,FTL/04_Phase4_ATPG/results/dirL5/b21_C/b21_C.stil
dirL5,b22_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/b22_C/b22_C.rpt,FTL/04_Phase4_ATPG/results/dirL5/b22_C/b22_C.pat,FTL/04_Phase4_ATPG/results/dirL5/b22_C/b22_C.stil
dirL5,c1908,ok,,100,94.41,100,62,1.776e+09,2213,0,2344,FTL/04_Phase4_ATPG/results/dirL5/c1908/c1908.rpt,FTL/04_Phase4_ATPG/results/dirL5/c1908/c1908.pat,FTL/04_Phase4_ATPG/results/dirL5/c1908/c1908.stil
dirL5,c5315,ok,,100,99.76,100,63,1.776e+09,9441,0,9464,FTL/04_Phase4_ATPG/results/dirL5/c5315/c5315.rpt,FTL/04_Phase4_ATPG/results/dirL5/c5315/c5315.pat,FTL/04_Phase4_ATPG/results/dirL5/c5315/c5315.stil
dirL5,c6288,ok,,99.82,97.59,99.83,64,1.776e+09,12335,0,12640,FTL/04_Phase4_ATPG/results/dirL5/c6288/c6288.rpt,FTL/04_Phase4_ATPG/results/dirL5/c6288/c6288.pat,FTL/04_Phase4_ATPG/results/dirL5/c6288/c6288.stil
dirL5,c7552,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/c7552/c7552.rpt,FTL/04_Phase4_ATPG/results/dirL5/c7552/c7552.pat,FTL/04_Phase4_ATPG/results/dirL5/c7552/c7552.stil
dirL5,fftmain,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/fftmain/fftmain.rpt,FTL/04_Phase4_ATPG/results/dirL5/fftmain/fftmain.pat,FTL/04_Phase4_ATPG/results/dirL5/fftmain/fftmain.stil
dirL5,filter,ok,,99.97,97.27,99.97,132,1.776e+09,183721,0,188876,FTL/04_Phase4_ATPG/results/dirL5/filter/filter.rpt,FTL/04_Phase4_ATPG/results/dirL5/filter/filter.pat,FTL/04_Phase4_ATPG/results/dirL5/filter/filter.stil
dirL5,fpu_mul,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/fpu_mul/fpu_mul.rpt,FTL/04_Phase4_ATPG/results/dirL5/fpu_mul/fpu_mul.pat,FTL/04_Phase4_ATPG/results/dirL5/fpu_mul/fpu_mul.stil
dirL5,multiplier,ok,,99.88,94.25,99.89,94,1.776e+09,70225,0,74506,FTL/04_Phase4_ATPG/results/dirL5/multiplier/multiplier.rpt,FTL/04_Phase4_ATPG/results/dirL5/multiplier/multiplier.pat,FTL/04_Phase4_ATPG/results/dirL5/multiplier/multiplier.stil
dirL5,s13207,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/s13207/s13207.rpt,FTL/04_Phase4_ATPG/results/dirL5/s13207/s13207.pat,FTL/04_Phase4_ATPG/results/dirL5/s13207/s13207.stil
dirL5,s15850,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/s15850/s15850.rpt,FTL/04_Phase4_ATPG/results/dirL5/s15850/s15850.pat,FTL/04_Phase4_ATPG/results/dirL5/s15850/s15850.stil
dirL5,s208,ok,,100,99.6,100,32,1.776e+09,496,0,498,FTL/04_Phase4_ATPG/results/dirL5/s208/s208.rpt,FTL/04_Phase4_ATPG/results/dirL5/s208/s208.pat,FTL/04_Phase4_ATPG/results/dirL5/s208/s208.stil
dirL5,s35932,ok,,100,100,100,15,1.776e+09,49368,0,49368,FTL/04_Phase4_ATPG/results/dirL5/s35932/s35932.rpt,FTL/04_Phase4_ATPG/results/dirL5/s35932/s35932.pat,FTL/04_Phase4_ATPG/results/dirL5/s35932/s35932.stil
dirL5,s38417,ok,,99.99,98.62,99.99,109,1.776e+09,68372,0,69326,FTL/04_Phase4_ATPG/results/dirL5/s38417/s38417.rpt,FTL/04_Phase4_ATPG/results/dirL5/s38417/s38417.pat,FTL/04_Phase4_ATPG/results/dirL5/s38417/s38417.stil
dirL5,s38584,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/s38584/s38584.rpt,FTL/04_Phase4_ATPG/results/dirL5/s38584/s38584.pat,FTL/04_Phase4_ATPG/results/dirL5/s38584/s38584.stil
dirL5,s5378,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/s5378/s5378.rpt,FTL/04_Phase4_ATPG/results/dirL5/s5378/s5378.pat,FTL/04_Phase4_ATPG/results/dirL5/s5378/s5378.stil
dirL5,s9234,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/s9234/s9234.rpt,FTL/04_Phase4_ATPG/results/dirL5/s9234/s9234.pat,FTL/04_Phase4_ATPG/results/dirL5/s9234/s9234.stil
dirL5,sha512,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL5/sha512/sha512.rpt,FTL/04_Phase4_ATPG/results/dirL5/sha512/sha512.pat,FTL/04_Phase4_ATPG/results/dirL5/sha512/sha512.stil
dirL7,b14_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL7/b14_C/b14_C.rpt,FTL/04_Phase4_ATPG/results/dirL7/b14_C/b14_C.pat,FTL/04_Phase4_ATPG/results/dirL7/b14_C/b14_C.stil
dirL7,b15_C,ok,,99.54,98.23,99.54,439,1.776e+09,52801,0,53750,FTL/04_Phase4_ATPG/results/dirL7/b15_C/b15_C.rpt,FTL/04_Phase4_ATPG/results/dirL7/b15_C/b15_C.pat,FTL/04_Phase4_ATPG/results/dirL7/b15_C/b15_C.stil
dirL7,b17_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL7/b17_C/b17_C.rpt,FTL/04_Phase4_ATPG/results/dirL7/b17_C/b17_C.pat,FTL/04_Phase4_ATPG/results/dirL7/b17_C/b17_C.stil
dirL7,b20_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL7/b20_C/b20_C.rpt,FTL/04_Phase4_ATPG/results/dirL7/b20_C/b20_C.pat,FTL/04_Phase4_ATPG/results/dirL7/b20_C/b20_C.stil
dirL7,b21_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL7/b21_C/b21_C.rpt,FTL/04_Phase4_ATPG/results/dirL7/b21_C/b21_C.pat,FTL/04_Phase4_ATPG/results/dirL7/b21_C/b21_C.stil
dirL7,b22_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL7/b22_C/b22_C.rpt,FTL/04_Phase4_ATPG/results/dirL7/b22_C/b22_C.pat,FTL/04_Phase4_ATPG/results/dirL7/b22_C/b22_C.stil
dirL7,c1908,ok,,100,94.41,100,62,1.776e+09,2213,0,2344,FTL/04_Phase4_ATPG/results/dirL7/c1908/c1908.rpt,FTL/04_Phase4_ATPG/results/dirL7/c1908/c1908.pat,FTL/04_Phase4_ATPG/results/dirL7/c1908/c1908.stil
dirL7,c5315,ok,,100,99.76,100,63,1.776e+09,9441,0,9464,FTL/04_Phase4_ATPG/results/dirL7/c5315/c5315.rpt,FTL/04_Phase4_ATPG/results/dirL7/c5315/c5315.pat,FTL/04_Phase4_ATPG/results/dirL7/c5315/c5315.stil
dirL7,c6288,ok,,99.82,97.59,99.83,64,1.776e+09,12335,0,12640,FTL/04_Phase4_ATPG/results/dirL7/c6288/c6288.rpt,FTL/04_Phase4_ATPG/results/dirL7/c6288/c6288.pat,FTL/04_Phase4_ATPG/results/dirL7/c6288/c6288.stil
dirL7,c7552,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL7/c7552/c7552.rpt,FTL/04_Phase4_ATPG/results/dirL7/c7552/c7552.pat,FTL/04_Phase4_ATPG/results/dirL7/c7552/c7552.stil
